FID,EndStationID,BUS_DIST,METRO_DIST,RAIL_DIST,CAZ_DIST,RetailCoverS,RetailRatio,ResCoverS,ResidentRatio,ParkCoverS,ParkRatio,CommerCoverS,CommerRatio,MetroCommu,BusCommute,Deprivatio,AllusualRe,JobDensity,StudentRat,Deprivatio,NoCar,OfficeWork,MetroCommu,BusCommute,CarorVanCo,CycleCommu,RoadDen,POPDEN,counts,count_ratio
29,26,47.2489141,421.7531282,539.3923436,721.7289674,87774.39844,0.024910361,340136,0.013106775,33632.12891,0.002894255,159815.6563,0.036244012,,,,,,,,,,,,,,0.003470943,,6510,0.000769259
238,27,52.70177702,302.825693,348.8250971,1470.669553,6502.919922,0.001845528,298824.2188,0.01151487,354971.3125,0.030547504,19490.875,0.004420265,0.186379928,0.39426523,0.45613,1392,0.722580645,0.134562212,0.004561003,0.829157175,0.200431034,0.186379928,0.039426523,0.039426523,0.139784946,0.027351918,0.002177214,9330,0.001102486
19,28,35.76089731,25.43618626,33.58567385,2115.07871,34098.19922,0.009677064,182174.3125,0.007019891,15732.06055,0.001353842,34989.05078,0.00793504,0.217277487,0.7591623,0.6151993,1809,0.873831776,0.064485981,0.061519903,0.743373494,0.21116639,0.217277487,0.07591623,0.185863874,0.078534031,0.027751556,0.016635675,11269,0.00133161
118,29,167.0188054,538.2821127,389.504149,2964.982604,20866.19922,0.005921824,411.3809204,1.58521E-05,41499.28906,0.003571274,222.6183929,5.04868E-05,0.253787879,0.172348485,0.2928873,2452,0.744662681,0.149444919,0.029288703,0.645781119,0.215334421,0.253787879,0.172348485,0.079545455,0.089015152,0.022927403,0.02069758,9021,0.001065973
620,30,49.05093155,517.8950036,562.5811301,2137.183681,110740,0.031427995,397618.125,0.015321787,38663.25,0.003327215,13809.63184,0.003131836,,,,,,,,,,,,,,0.020322891,,7828,0.000925001
503,31,229.9873908,505.5019565,525.6004986,3659.461447,311.8420105,8.85007E-05,336292.3438,0.012958664,25914.43555,0.002230099,1645.557251,0.00037319,0.28711434,0.26896552,0.9375587,1828,0.882797732,0.063327032,0.090375587,0.723203769,0.301422319,0.208711434,0.206896552,0.161524501,0.083484574,0.013647417,0.016733619,11729,0.001385966
318,32,156.6273499,184.9785956,243.1799834,949.0259771,2626.179932,0.000745309,2881.174561,0.000111023,51028.79688,0.004391348,11477.41504,0.002602921,0.2453737,0.97222222,0.1171459,1877,0.855119124,0.0643915,0.01171459,0.854700855,0.230154502,0.24537037,0.097222222,0.069444444,0.155092593,0.028361351,0.005275888,17621,0.002082198
472,33,16.41868919,65.15653271,64.37220803,2361.909205,35468,0.010065813,319720.75,0.012320096,316262.125,0.027216336,12399.52051,0.002812042,,,,,,,,,,,,,,0.012179693,,12647,0.001494442
655,34,119.2734102,311.1406754,304.3475908,1043.369804,25804.80078,0.007323399,332763.2188,0.012822673,85491.00781,0.007357037,12818.24512,0.002907003,,,,,,,,,,,,,,0.00516075,,7005,0.000827751
413,36,489.7013067,550.5891396,520.1159038,1438.687607,51435.80078,0.014597473,424813.3438,0.016369726,95175.08594,0.008190412,19955.58789,0.004525655,0.213953488,0.69767442,0.19748654,1184,0.886277001,0.048919949,0.019748654,0.542190305,0.181587838,0.213953488,0.069767442,0.195348837,0.088372093,0.003313122,0.011952281,10124,0.00119631
125,37,108.75418,80.36278591,106.5095528,875.7451931,118665,0.033677109,224768.7031,0.00866122,16469.33008,0.001417289,3025.425537,0.000686125,0.3281691,0.38732394,0.36585366,1540,0.864444444,0.072777778,0.036585366,0.647619048,0.184415584,0.302816901,0.038732394,0.158450704,0.080985915,0.015835139,0.023755128,12102,0.001430042
94,38,222.4626291,505.8373782,481.7517429,738.8741265,14365,0.004076785,113.340744,4.36746E-06,10871.22656,0.000935537,415834.7188,0.094305644,0.25491961,0.8627451,0.1178232,1484,0.754730713,0.11790393,0.011782032,0.455212922,0.171832884,0.254901961,0.08627451,0.145098039,0.11372549,0.010974481,0.013528606,5906,0.000697887
306,39,44.79627529,618.8603021,430.6091994,1874.533728,6021.950195,0.001709029,382612.125,0.014743547,69355.04688,0.005968436,26119.94727,0.005923648,0.18678861,0.1424563,0.16415869,1449,0.780285583,0.088438508,0.016415869,0.82739726,0.218081435,0.186708861,0.142405063,0.066455696,0.136075949,0.006688641,0.010868863,23496,0.002776422
603,40,47.52104547,553.1612218,233.6610686,1759.985259,38607.69922,0.010956859,363122.8125,0.013992547,224135.1563,0.019288234,687.8918457,0.000156004,0.21446384,0.82294264,0.4932317,2332,0.874278384,0.094932649,0.049323017,0.807580175,0.171955403,0.21446384,0.082294264,0.08478803,0.112219451,0.00446706,0.011013013,9235,0.00109126
707,41,155.3148202,336.7020939,345.2241861,2353.313888,42550.39844,0.012075797,547260.375,0.021088091,44959.73438,0.003869067,0,0,0.2453737,0.97222222,0.1171459,1877,0.855119124,0.0643915,0.01171459,0.854700855,0.230154502,0.24537037,0.097222222,0.069444444,0.155092593,0.006963495,0.005275888,4602,0.000543799
58,42,253.9144706,692.8014656,739.3955136,4995.63662,13711,0.00389118,419610.5938,0.016169243,53251.23828,0.004582603,111559.5391,0.025300182,,,,,,,,,,,,,,0.026994623,,10061,0.001188865
49,43,50.28520586,221.3867632,260.6333756,1202.809831,73180.39844,0.020768586,126572.7891,0.004877346,46531.09375,0.004004292,1727.567261,0.000391789,0.25632521,0.88235294,0.232523,1452,0.807534247,0.096575342,0.020325203,0.695238095,0.163911846,0.256302521,0.088235294,0.092436975,0.067226891,0.008704423,0.014599035,12584,0.001486997
667,44,60.1801,371.963122,421.7172941,2017.267281,3891.52002,0.001104413,259315.25,0.009992435,30122.84375,0.002592259,311097.3438,0.070552636,,,,,,,,,,,,,,0.006229057,,7183,0.000848784
356,45,29.86569683,60.0697014,89.1183297,2435.81631,10986.09961,0.003117853,286731.125,0.011048876,147887.0313,0.012726605,14243.74414,0.003230287,0.23297491,0.17526882,0.22511848,1626,0.812772926,0.081331878,0.022511848,0.723730815,0.171586716,0.23297491,0.107526882,0.114695341,0.089605735,0.010598728,0.014438093,11912,0.00140759
161,46,30.28791041,574.1387651,624.6816262,2852.541526,31716,0.009000996,409910.9688,0.015795479,3429.744629,0.000295151,33251.38281,0.00754096,0.24963855,0.3373494,0.297921,1985,0.795588235,0.126470588,0.020979021,0.597597598,0.20906801,0.240963855,0.03373494,0.156626506,0.091566265,0.045977453,0.006078439,17460,0.002063174
339,47,52.03118708,20.32583526,54.87047423,1675.281815,23534.5,0.006679088,346118.625,0.013337309,82859.49219,0.007130578,2249.666748,0.000510194,0.231511254,0.73954984,0.25316456,1987,0.908644401,0.072691552,0.025316456,0.519585253,0.156517363,0.231511254,0.073954984,0.21221865,0.093247588,0.007279608,0.009580202,12535,0.001481207
545,48,52.32470997,204.452517,279.8622993,6120.614557,113846,0.032309478,256562.7969,0.009886372,11982.2793,0.00103115,2586.625732,0.000586611,0.244444444,0.69444444,0.345221,1613,0.762105263,0.109473684,0.003405221,0.834474886,0.223186609,0.244444444,0.069444444,0.044444444,0.058333333,0.014438616,0.000972568,12701,0.001500823
12,49,157.8056062,192.1831202,213.7289729,4514.557386,34238.69922,0.009716938,256284.375,0.009875643,15240.49414,0.00131154,55504.62891,0.012587693,0.198529412,0.58823529,0.2869445,1197,0.789473684,0.116491228,0.028694405,0.61815562,0.227234754,0.198529412,0.058823529,0.132352941,0.069852941,0.014099665,0.002305187,9399,0.00111064
364,50,112.0896335,299.0161579,338.8801242,2245.030993,118405,0.033603321,396619.4688,0.015283305,5606.317383,0.000482459,1352.845337,0.000306807,0.225714286,0.134285714,0.7972665,1919,0.895850285,0.054515867,0.007972665,0.867346939,0.18238666,0.225714286,0.134285714,0.062857143,0.134285714,0.014263735,0.024634084,7280,0.000860246
280,51,244.7742023,626.8185083,653.0094028,2710.214032,7113.540039,0.002018822,38831.01953,0.001496312,59474.51172,0.005118154,75683.38281,0.017163959,0.19422492,0.252279635,0.966173,1360,0.806547619,0.082589286,0.096601073,0.736654804,0.241911765,0.109422492,0.252279635,0.139817629,0.103343465,0.006318672,0.021502477,5863,0.000692806
374,52,164.3959737,358.982239,406.1570152,3220.32113,2613.330078,0.000741663,221507.8125,0.008535566,115495.6953,0.009939128,106928.2813,0.024249876,0.16849153,0.194748359,0.55555556,2044,0.8988006,0.050974513,0.055555556,0.752453653,0.223581213,0.168490153,0.194748359,0.094091904,0.076586433,0.007468241,0.014862505,8710,0.001029223
626,53,107.2886167,330.7857491,377.3954992,1689.998465,74857.39844,0.021244518,314970.625,0.012137055,3014.249756,0.000259395,7775.995117,0.00176349,,,,,,,,,,,,,,0.010574029,,7250,0.000856701
